path,group,before_cumulation,length,plDDT
A0A087WT01,Unknotted,"{'0_1': 0.94, '3_1': 0.06}",109,90.53275618374556
A0A087WT02,Unknotted,{'0_1': 0.94},112,92.16546820809273
A0A087WT03,Unknotted,{'0_1': 0.96},109,90.00996523754343
A0A087WTH1,Unknotted,{'0_1': 0.99},108,69.34167874396128
A0A087WUV0,Unknotted,{'0_1': 0.97},522,65.68622546673086
A0A087WV53,Unknotted,{'0_1': 0.97},238,85.91455040871983
A0A087WV62,Unknotted,{'0_1': 0.98},115,90.90568257491663
A0A087WVF3,Unknotted,{'0_1': 0.84},549,60.06015992689067
A0A087WW87,Unknotted,{'0_1': 0.96},121,90.23782655246241
A0A087WWA1,Unknotted,{'0_1': 1.0},95,60.916688311688254
A0A087WXM9,Unknotted,"{'0_1': 0.8, '3_1': 0.13}",373,53.97264757247625
A0A087WXS9,Unknotted,"{'0_1': 0.83, '3_1': 0.09}",549,60.53429289467678
A0A087X0K7,Unknotted,{'0_1': 0.95},114,88.35013201320142
A0A087X0M5,Unknotted,{'0_1': 0.95},115,91.90941758241759
A0A087X179,Unknotted,{'0_1': 0.88},549,60.78446604161897
A0A087X1C5,Unknotted,{'0_1': 0.92},515,91.4315194869265
A0A087X1G2,Unknotted,{'0_1': 0.95},549,60.25641910420456
A0A096LNP1,Unknotted,{'0_1': 1.0},70,69.89525483304044
A0A096LNW5,Unknotted,{'0_1': 0.97},274,84.43695526695527
A0A096LP01,Unknotted,{'0_1': 0.99},95,72.5208300907908
A0A096LP55,Unknotted,{'0_1': 1.0},91,86.1246399999996
A0A096LPI5,Unknotted,{'0_1': 0.98},108,56.97749702026235
A0A096LPK9,Unknotted,{'0_1': 0.95},316,84.73709149021175
A0A0A0MRZ7,Unknotted,{'0_1': 0.98},120,88.71479099678439
A0A0A0MRZ8,Unknotted,{'0_1': 0.97},115,88.09249158249142
A0A0A0MRZ9,Unknotted,{'0_1': 0.98},124,90.79782470960957
A0A0A0MS00,Unknotted,{'0_1': 0.98},114,82.28695501730134
A0A0A0MS01,Unknotted,{'0_1': 0.98},119,86.31906019007344
A0A0A0MS02,Unknotted,{'0_1': 0.95},117,85.6232513368983
A0A0A0MS03,Unknotted,{'0_1': 0.95},114,90.06182844243796
A0A0A0MS04,Unknotted,{'0_1': 0.94},114,92.41746878547102
A0A0A0MS05,Unknotted,{'0_1': 0.95},114,91.33918577981642
A0A0A0MS06,Unknotted,{'0_1': 0.95},115,90.48097533632345
A0A0A0MS14,Unknotted,{'0_1': 0.98},117,90.7517597471026
A0A0A0MS15,Unknotted,{'0_1': 0.96},119,90.94734204793066
A0A0A0MT36,Unknotted,{'0_1': 0.97},114,91.0802186421169
A0A0A0MT70,Unknotted,{'0_1': 1.0},17,91.26282051282044
A0A0A0MT76,Unknotted,{'0_1': 0.98},42,68.90893175074184
A0A0A0MT87,Unknotted,{'0_1': 1.0},16,84.29357723577247
A0A0A0MT94,Unknotted,{'0_1': 1.0},16,83.95447154471556
A0A0A0MTA7,Unknotted,{'0_1': 1.0},16,85.51376923076936
A0A0A6YYC5,Unknotted,{'0_1': 0.97},116,90.4330429988974
A0A0A6YYD4,Unknotted,{'0_1': 0.99},124,90.88909183673472
A0A0A6YYG2,Unknotted,{'0_1': 0.95},114,91.25753672316404
A0A0A6YYG3,Unknotted,{'0_1': 0.95},113,90.40969837587005
A0A0A6YYJ7,Unknotted,{'0_1': 0.96},113,90.2046042363435
A0A0A6YYK1,Unknotted,{'0_1': 1.0},113,91.75341436464134
A0A0A6YYK4,Unknotted,{'0_1': 0.96},115,81.61731679819623
A0A0A6YYK6,Unknotted,{'0_1': 0.95},109,92.33958286358475
A0A0A6YYK7,Unknotted,{'0_1': 0.95},116,91.15648706896515
A0A0A6YYL3,Unknotted,{'0_1': 0.96},544,71.28380886105309
A0A0B4J1U3,Unknotted,{'0_1': 0.98},117,89.66029612756286
A0A0B4J1U4,Unknotted,{'0_1': 0.95},118,86.0259251559257
A0A0B4J1U6,Unknotted,"{'0_1': 0.93, '3_1': 0.07}",114,91.92046275395032
A0A0B4J1U7,Unknotted,"{'0_1': 0.94, '3_1': 0.06}",121,91.39106092436985
A0A0B4J1V0,Unknotted,{'0_1': 0.98},119,91.16675110132148
A0A0B4J1V1,Unknotted,{'0_1': 0.99},117,90.95953436807129
A0A0B4J1V2,Unknotted,"{'0_1': 0.92, '3_1': 0.08}",119,92.08946854663768
A0A0B4J1V6,Unknotted,{'0_1': 0.97},119,90.89836101882578
A0A0B4J1V7,Unknotted,{'0_1': 0.97},117,90.6200660066007
A0A0B4J1W7,Unknotted,{'0_1': 0.95},369,50.9968292682921
A0A0B4J1X5,Unknotted,{'0_1': 0.95},117,91.03662236987824
A0A0B4J1X8,Unknotted,"{'0_1': 0.94, '3_1': 0.06}",118,90.95004347826067
A0A0B4J1Y8,Unknotted,{'0_1': 0.98},123,89.1739628820959
A0A0B4J1Y9,Unknotted,{'0_1': 0.96},119,91.47009698275845
A0A0B4J1Z2,Unknotted,{'0_1': 0.97},117,90.13550819672146
A0A0B4J200,Unknotted,{'0_1': 1.0},16,89.22016129032257
A0A0B4J234,Unknotted,{'0_1': 0.95},112,90.82179138322016
A0A0B4J235,Unknotted,{'0_1': 0.96},113,90.03880446927396
A0A0B4J237,Unknotted,{'0_1': 0.95},113,90.55939497716889
A0A0B4J238,Unknotted,"{'0_1': 0.93, '3_1': 0.07}",106,87.85392557022804
A0A0B4J240,Unknotted,{'0_1': 0.95},114,91.24470653377612
A0A0B4J241,Unknotted,"{'0_1': 0.94, '3_1': 0.06}",112,90.92745208568238
A0A0B4J244,Unknotted,{'0_1': 0.96},114,91.31498312710943
A0A0B4J245,Unknotted,{'0_1': 0.96},112,92.64386313465752
A0A0B4J248,Unknotted,"{'0_1': 0.93, '3_1': 0.06}",108,88.78228843861747
A0A0B4J249,Unknotted,"{'0_1': 0.92, '3_1': 0.08}",113,88.3237362637364
A0A0B4J262,Unknotted,{'0_1': 0.99},113,90.60981047937551
A0A0B4J263,Unknotted,{'0_1': 0.93},110,91.87310227272715
A0A0B4J264,Unknotted,{'0_1': 0.96},116,90.92897849462409
A0A0B4J265,Unknotted,{'0_1': 0.98},109,91.5407042253518
A0A0B4J266,Unknotted,{'0_1': 0.97},112,92.51246543778804
A0A0B4J268,Unknotted,{'0_1': 0.99},109,89.6131315483121
A0A0B4J271,Unknotted,{'0_1': 0.98},114,92.76290496760288
A0A0B4J272,Unknotted,{'0_1': 0.97},114,88.04084522502765
A0A0B4J273,Unknotted,{'0_1': 0.95},112,90.44518857142889
A0A0B4J274,Unknotted,{'0_1': 0.99},112,92.040302690583
A0A0B4J275,Unknotted,"{'0_1': 0.94, '3_1': 0.06}",112,89.21415525114145
A0A0B4J276,Unknotted,{'0_1': 0.97},109,91.8595862068965
A0A0B4J277,Unknotted,{'0_1': 0.96},110,93.16841735052735
A0A0B4J279,Unknotted,"{'0_1': 0.93, '3_1': 0.06}",112,92.6839351851856
A0A0B4J280,Unknotted,{'0_1': 0.96},105,85.91590123456787
A0A0B4J2A2,Unknotted,"{'0_1': 0.78, '3_1': 0.13, '4_1': 0.07}",164,96.69211433046236
A0A0B4J2D5,Unknotted,"{'0_1': 0.89, '3_1': 0.07}",268,90.91808198380592
A0A0B4J2D9,Unknotted,{'0_1': 0.98},117,89.87545866364681
A0A0B4J2E0,Unknotted,{'0_1': 0.97},115,90.29486754966902
A0A0B4J2F0,Unknotted,{'0_1': 1.0},54,84.22399999999999
A0A0B4J2F2,Unknotted,"{'0_1': 0.87, '3_1': 0.1}",783,61.39858411528054
A0A0B4J2H0,Unknotted,{'0_1': 0.98},117,90.77172839506129
A0A0C4DH24,Unknotted,{'0_1': 0.99},114,90.85042237442887
A0A0C4DH25,Unknotted,{'0_1': 0.99},116,89.46380952380983
A0A0C4DH26,Unknotted,{'0_1': 0.98},115,92.77281038374717
A0A0C4DH27,Unknotted,{'0_1': 1.0},118,85.91385759829957
A0A0C4DH28,Unknotted,{'0_1': 1.0},118,84.2104859611231
A0A0C4DH29,Unknotted,{'0_1': 0.96},117,91.35486338797818
A0A0C4DH30,Unknotted,{'0_1': 0.97},117,89.84474428726837
A0A0C4DH31,Unknotted,{'0_1': 0.97},117,91.1563263041063
A0A0C4DH32,Unknotted,{'0_1': 0.97},117,90.4453647586981
A0A0C4DH33,Unknotted,{'0_1': 0.96},117,90.49312151616469
A0A0C4DH34,Unknotted,"{'0_1': 0.94, '3_1': 0.06}",117,90.74587284482743
A0A0C4DH35,Unknotted,{'0_1': 0.99},117,90.87449002217294
A0A0C4DH36,Unknotted,"{'0_1': 0.92, '3_1': 0.08}",116,89.59080357142838
A0A0C4DH38,Unknotted,{'0_1': 1.0},117,93.1616872890893
A0A0C4DH39,Unknotted,{'0_1': 0.95},117,91.32578774617053
A0A0C4DH41,Unknotted,{'0_1': 0.95},118,90.99479437229428
A0A0C4DH42,Unknotted,"{'0_1': 0.93, '3_1': 0.06}",116,90.5462514029183
A0A0C4DH43,Unknotted,"{'0_1': 0.94, '3_1': 0.06}",119,91.8875858369102
A0A0C4DH55,Unknotted,{'0_1': 0.97},119,88.10738146551726
A0A0C4DH59,Unknotted,{'0_1': 0.99},114,91.76527809307589
A0A0C4DH62,Unknotted,{'0_1': 1.0},17,87.38330882352948
A0A0C4DH67,Unknotted,{'0_1': 0.98},115,90.8816231555049
A0A0C4DH68,Unknotted,{'0_1': 0.99},120,90.34087145969515
A0A0C4DH69,Unknotted,{'0_1': 0.99},117,90.49592841163327
A0A0C4DH72,Unknotted,{'0_1': 0.97},117,89.66622895622866
A0A0C4DH73,Unknotted,{'0_1': 0.99},117,90.54625000000024
A0A0C5B5G6,Unknotted,{'0_1': 1.0},16,72.21078431372557
A0A0D9SF12,Unknotted,{'0_1': 1.0},145,59.5061633011412
A0A0G2JMD5,Unknotted,{'0_1': 0.96},474,77.05412813226546
A0A0G2JMI3,Unknotted,{'0_1': 0.97},117,91.9322838137473
A0A0G2JS06,Unknotted,{'0_1': 0.99},123,90.3924920466595
A0A0J9YVY3,Unknotted,{'0_1': 0.96},117,91.62323756906083
A0A0J9YWL9,Unknotted,"{'0_1': 0.86, '3_1': 0.13}",993,50.65949322563878
A0A0J9YWP8,Unknotted,{'0_1': 1.0},16,77.46300813008125
A0A0J9YWX3,Unknotted,{'0_1': 1.0},17,86.53659090909079
A0A0J9YX35,Unknotted,{'0_1': 0.97},117,90.98692563817988
A0A0J9YX57,Unknotted,"{'0_1': 0.91, '3_1': 0.08}",407,69.08886597938088
A0A0J9YX75,Unknotted,{'0_1': 0.97},114,92.3996342857145
A0A0J9YX94,Unknotted,"{'0_1': 0.63, '3_1': 0.33}",578,61.78312707444281
A0A0J9YXG5,Unknotted,{'0_1': 1.0},16,89.47430894308948
A0A0J9YXM7,Unknotted,{'0_1': 1.0},16,81.97599999999997
A0A0J9YXQ4,Unknotted,"{'0_1': 0.84, '3_1': 0.13}",647,55.05208378791199
A0A0J9YXX1,Unknotted,{'0_1': 0.97},117,93.53861607142828
A0A0J9YXY3,Unknotted,{'0_1': 0.97},114,91.55245153933873
A0A0J9YY54,Unknotted,"{'0_1': 0.79, '3_1': 0.14}",714,49.578012635379196
A0A0K0K1A3,Unknotted,{'0_1': 0.97},114,92.24926695842447
A0A0K0K1A5,Unknotted,{'0_1': 0.96},114,92.61840830449829
A0A0K0K1B3,Unknotted,{'0_1': 0.94},111,91.57102088167052
A0A0K0K1C0,Unknotted,{'0_1': 0.96},115,90.4969599109133
A0A0K0K1C4,Unknotted,{'0_1': 0.98},114,92.59958888888912
A0A0K0K1D8,Unknotted,{'0_1': 0.96},114,92.62848244620656
A0A0K0K1E9,Unknotted,{'0_1': 0.97},115,90.33462736373757
A0A0K0K1G6,Unknotted,{'0_1': 0.95},114,92.19572519083985
A0A0K0K1G8,Unknotted,{'0_1': 0.98},114,91.51202393906392
A0A0K2S4Q6,Unknotted,{'0_1': 0.99},201,73.47532722513073
A0A0U1RQE8,Unknotted,"{'0_1': 0.83, '3_1': 0.07}",302,90.56679307502017
A0A0U1RQF7,Unknotted,{'0_1': 1.0},123,48.112197452229346
A0A0U1RQG5,Unknotted,"{'0_1': 0.81, '4_1': 0.09, '3_1': 0.09}",324,52.486880584890436
A0A0U1RQI7,Unknotted,{'0_1': 0.95},1052,56.86382689097188
A0A0U1RQS6,Unknotted,{'0_1': 1.0},177,57.83860349127183
A0A0U1RR11,Unknotted,{'0_1': 0.99},272,70.41464285714291
A0A0U1RR37,Unknotted,{'0_1': 0.99},186,64.41479327259975
A0A0U1RRA0,Unknotted,{'0_1': 1.0},63,71.21944444444426
A0A0U1RRE5,Unknotted,{'0_1': 1.0},68,70.44016227180533
A0A0U1RRI6,Unknotted,{'0_1': 1.0},287,70.94417312072846
A0A0U1RRK4,Unknotted,{'0_1': 1.0},108,65.38249001331594
A0A0U1RRL7,Unknotted,{'0_1': 1.0},71,70.5272744014731
A0A0U1RRN3,Unknotted,{'0_1': 1.0},59,67.95267346938778
A0A0X1KG70,Unknotted,"{'0_1': 0.88, '3_1': 0.11}",313,88.62704983922795
A0A183,Unknotted,{'0_1': 1.0},80,62.7767145135564
A0A1B0GTB2,Unknotted,{'0_1': 1.0},48,78.56901333333327
A0A1B0GTC6,Unknotted,{'0_1': 1.0},90,70.4659781121749
A0A1B0GTD5,Unknotted,{'0_1': 0.99},131,77.55116742081461
A0A1B0GTH9,Unknotted,{'0_1': 1.0},108,87.10946820809245
A0A1B0GTI1,Unknotted,{'0_1': 0.97},187,66.72778773259827
A0A1B0GTI8,Unknotted,{'0_1': 0.99},187,82.72308255659115
A0A1B0GTJ6,Unknotted,"{'0_1': 0.86, '3_1': 0.13}",334,53.36726303768555
A0A1B0GTK4,Unknotted,{'0_1': 0.99},181,65.23642411642403
A0A1B0GTK5,Unknotted,{'0_1': 0.99},79,64.1983333333335
A0A1B0GTL2,Unknotted,{'0_1': 0.97},189,71.77787899388173
A0A1B0GTQ4,Unknotted,{'0_1': 1.0},84,72.88846953937572
A0A1B0GTR0,Unknotted,{'0_1': 0.98},161,54.47946470131891
A0A1B0GTR3,Unknotted,{'0_1': 1.0},108,69.82907363420428
A0A1B0GTR4,Unknotted,{'0_1': 0.99},108,53.86302325581396
A0A1B0GTS1,Unknotted,{'0_1': 0.97},333,66.07693251533719
A0A1B0GTU2,Unknotted,{'0_1': 1.0},59,80.04834042553198
A0A1B0GTW7,Unknotted,{'0_1': 0.98},788,73.54947947947927
A0A1B0GTY4,Unknotted,{'0_1': 0.99},177,65.5944527532289
A0A1B0GTZ2,Unknotted,{'0_1': 0.99},297,68.68606550580424
A0A1B0GU29,Unknotted,{'0_1': 1.0},152,64.23357020547967
A0A1B0GU33,Unknotted,{'0_1': 1.0},70,60.63590106007066
A0A1B0GU71,Unknotted,{'0_1': 1.0},98,85.87502433090057
A0A1B0GUA5,Unknotted,{'0_1': 1.0},103,61.34144908616185
A0A1B0GUA6,Unknotted,{'0_1': 0.99},201,64.60180746561865
A0A1B0GUA7,Unknotted,{'0_1': 1.0},166,67.5719742813916
A0A1B0GUA9,Unknotted,{'0_1': 0.97},212,59.75010372178175
A0A1B0GUC4,Unknotted,{'0_1': 0.99},108,67.64643447461623
A0A1B0GUI7,Unknotted,{'0_1': 1.0},84,65.72944444444424
A0A1B0GUJ8,Unknotted,{'0_1': 0.95},204,78.89468204488765
A0A1B0GUQ0,Unknotted,{'0_1': 0.99},79,62.99445528455303
A0A1B0GUS0,Unknotted,{'0_1': 0.96},222,63.93617122473267
A0A1B0GUS4,Unknotted,{'0_1': 0.93},154,94.19939634630663
A0A1B0GUT2,Unknotted,{'0_1': 1.0},108,59.34336585365856
A0A1B0GUU1,Unknotted,"{'0_1': 0.73, '3_1': 0.25}",675,82.282082272282
A0A1B0GUV1,Unknotted,{'0_1': 1.0},79,60.68499999999998
A0A1B0GUV7,Unknotted,{'0_1': 0.96},120,52.60988741044008
A0A1B0GUW7,Unknotted,{'0_1': 0.99},55,77.74949115044244
A0A1B0GUX0,Unknotted,{'0_1': 0.99},176,79.09437021572738
A0A1B0GUY1,Unknotted,"{'0_1': 0.92, '3_1': 0.08}",285,41.92562350692793
A0A1B0GV03,Unknotted,{'0_1': 0.99},622,73.12966761633375
A0A1B0GV22,Unknotted,{'0_1': 1.0},79,62.69970731707322
A0A1B0GV90,Unknotted,{'0_1': 1.0},55,80.1319761904764
A0A1B0GV96,Unknotted,{'0_1': 1.0},52,60.792572178477634
A0A1B0GVD1,Unknotted,{'0_1': 1.0},139,75.47666085440301
A0A1B0GVG4,Unknotted,{'0_1': 0.99},234,81.03613623354295
A0A1B0GVG6,Unknotted,{'0_1': 0.99},124,62.49268020304578
A0A1B0GVH4,Unknotted,"{'0_1': 0.76, '3_1': 0.19}",220,59.72633129516345
A0A1B0GVH6,Unknotted,"{'0_1': 0.92, '3_1': 0.07}",325,52.35177718832861
A0A1B0GVH7,Unknotted,"{'0_1': 0.85, '3_1': 0.11}",501,61.262509532888686
A0A1B0GVK7,Unknotted,{'0_1': 0.99},77,83.2229955947138
A0A1B0GVM5,Unknotted,{'0_1': 0.99},59,64.37243186582819
A0A1B0GVM6,Unknotted,{'0_1': 1.0},126,63.19578571428565
A0A1B0GVN3,Unknotted,{'0_1': 0.92},265,55.510437441204054
A0A1B0GVQ0,Unknotted,{'0_1': 1.0},90,68.23288888888888
A0A1B0GVQ3,Unknotted,"{'0_1': 0.94, '3_1': 0.06}",168,64.75189010989025
A0A1B0GVR7,Unknotted,{'0_1': 1.0},95,79.75304347826095
A0A1B0GVS7,Unknotted,"{'0_1': 0.92, '3_1': 0.08}",189,54.21763087248312
A0A1B0GVT2,Unknotted,{'0_1': 0.99},93,64.76082865168536
A0A1B0GVV1,Unknotted,{'0_1': 1.0},85,68.15785173978828
A0A1B0GVX0,Unknotted,{'0_1': 0.99},72,65.29885217391313
A0A1B0GVY4,Unknotted,{'0_1': 1.0},71,66.01105263157903
A0A1B0GVZ2,Unknotted,{'0_1': 1.0},78,83.54042459736449
A0A1B0GVZ6,Unknotted,{'0_1': 0.98},204,65.99035286704498
A0A1B0GVZ9,Unknotted,{'0_1': 1.0},245,80.5218577494696
A0A1B0GW35,Unknotted,{'0_1': 0.99},172,89.3293047752808
A0A1B0GW54,Unknotted,{'0_1': 1.0},56,76.88665871121721
A0A1B0GW64,Unknotted,{'0_1': 0.99},132,61.80206619859592
A0A1B0GWB2,Unknotted,{'0_1': 0.94},263,57.83998942358528
A0A1B0GWG4,Unknotted,{'0_1': 1.0},90,67.50891364902492
A0A1B0GWH4,Unknotted,{'0_1': 0.98},333,66.17120107444407
A0A1B0GWH6,Unknotted,{'0_1': 1.0},25,97.58826923076943
A0A1B0GWK0,Unknotted,{'0_1': 0.99},134,75.38025163094153
A0A1B0GX31,Unknotted,{'0_1': 0.95},115,90.91179600886923
A0A1B0GX49,Unknotted,{'0_1': 0.99},114,92.07041860465108
A0A1B0GX51,Unknotted,{'0_1': 1.0},115,90.08190848214234
A0A1B0GX56,Unknotted,"{'0_1': 0.94, '3_1': 0.06}",115,91.20331140350893
A0A1B0GX68,Unknotted,{'0_1': 0.98},115,88.99657838983079
A0A1B0GX78,Unknotted,{'0_1': 0.98},115,90.44647123893823
A0A1B0GX95,Unknotted,{'0_1': 0.96},115,83.0823847019123
A0A1B0GXF2,Unknotted,{'0_1': 0.94},115,89.13628701594519
A0A1W2PP81,Unknotted,{'0_1': 0.97},198,71.91620026525214
A0A1W2PP97,Unknotted,{'0_1': 0.98},115,73.17659436008671
A0A1W2PPD8,Unknotted,"{'0_1': 0.74, '3_1': 0.13, '5_2': 0.07}",638,67.4480420420414
A0A1W2PPE2,Unknotted,{'0_1': 1.0},198,72.56773359840953
A0A1W2PPE3,Unknotted,{'0_1': 0.99},182,48.802881118881125
A0A1W2PPF3,Unknotted,"{'0_1': 0.83, '3_1': 0.12}",345,58.4354889589904
A0A1W2PPG7,Unknotted,{'0_1': 1.0},69,86.03362428842478
A0A1W2PPH5,Unknotted,{'0_1': 0.98},198,71.76115686274495
A0A1W2PPL8,Unknotted,{'0_1': 1.0},197,70.74945322793162
A0A1W2PPM1,Unknotted,{'0_1': 0.93},405,51.4553755063883
A0A1W2PPW3,Unknotted,{'0_1': 0.98},197,72.70503289473696
A0A1W2PQ09,Unknotted,{'0_1': 0.98},198,71.03572997415995
A0A1W2PQ27,Unknotted,"{'0_1': 0.86, '3_1': 0.07}",194,94.66081321473918
A0A1W2PQ64,Unknotted,"{'0_1': 0.89, '3_1': 0.08}",194,94.63223709369028
A0A1W2PQ72,Unknotted,"{'0_1': 0.89, '3_1': 0.1}",361,70.31028694404618
A0A1W2PQ73,Unknotted,"{'0_1': 0.91, '3_1': 0.08}",354,59.42963378176353
A0A1W2PQC6,Unknotted,{'0_1': 0.91},194,94.64869040050789
A0A1W2PQD8,Unknotted,"{'0_1': 0.84, '3_1': 0.1}",194,94.45109763880035
A0A1W2PQJ5,Unknotted,"{'0_1': 0.83, '3_1': 0.11}",194,95.01557397959206
A0A1W2PQL4,Unknotted,{'0_1': 1.0},384,69.29697562540053
A0A1W2PQU2,Unknotted,{'0_1': 0.98},76,80.17733552631583
A0A1W2PR19,Unknotted,"{'0_1': 0.8, '3_1': 0.18}",241,93.82816378433398
A0A1W2PR48,Unknotted,{'0_1': 0.93},441,72.20335374744838
A0A1W2PR64,Unknotted,{'0_1': 0.99},198,71.9801854304637
A0A1W2PR75,Unknotted,{'0_1': 0.88},194,94.86186386768448
A0A1W2PR82,Unknotted,{'0_1': 0.96},267,64.60511661807607
A0A1W2PR95,Unknotted,{'0_1': 0.97},340,80.97440087145903
A0A1W2PRP0,Unknotted,{'0_1': 0.93},233,69.38199563794984
A0A1W2PRV1,Unknotted,{'0_1': 0.99},198,72.12271703114618
A0A1W2PS18,Unknotted,{'0_1': 0.98},150,64.59724508050098
A0A286YEV6,Unknotted,{'0_1': 1.0},105,42.27111285266462
A0A286YEX9,Unknotted,{'0_1': 1.0},47,39.631434262948254
A0A286YEY9,Unknotted,{'0_1': 1.0},88,40.75346428571417
